# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
843	640.0	3022002362	12	140.0,800.0,980.0
966	640.0	1500911809	7	900.0,200.0,820.0
980	640.0	3794980752	11	940.0,860.0,120.0
322	645.0	2470700724	11	120.0,760.0,780.0,920.0
651	645.0	2069564012	12	900.0,480.0,700.0,500.0
971	645.0	1743910095	12	440.0,100.0,980.0,1060.0
455	646.6666666666666	2348662872	11	800.0,520.0,620.0
494	646.6666666666666	1130060902	11	360.0,840.0,740.0
962	646.6666666666666	121747556	12	860.0,1040.0,40.0
973	646.6666666666666	281708322	11	980.0,420.0,540.0
62	648.0	3403089378	7	920.0,620.0,380.0,80.0,1240.0
435	650.0	854192663	7	840.0,460.0
915	650.0	1651423045	9	640.0,460.0,340.0,1160.0
377	652.0	1515952062	10	320.0,1120.0,540.0,780.0,500.0
92	653.3333333333334	1534561344	8	440.0,820.0,700.0
287	653.3333333333334	221073774	9	640.0,460.0,860.0
385	653.3333333333334	1722402420	10	120.0,560.0,1280.0
399	655.0	2917008951	9	1100.0,180.0,1100.0,240.0
746	655.0	1622677408	10	540.0,400.0,1020.0,660.0
818	655.0	3142314418	10	640.0,840.0,460.0,680.0
184	660.0	1789424217	12	600.0,920.0,1000.0,120.0
193	660.0	3305672700	11	1100.0,240.0,1120.0,480.0,360.0
234	660.0	3662499525	10	460.0,1180.0,340.0
239	660.0	3314201446	11	440.0,900.0,540.0,760.0
346	660.0	2564879826	7	1020.0,20.0,320.0,1280.0
357	660.0	597750311	6	940.0,600.0,440.0
358	660.0	3405883694	9	460.0,860.0
363	660.0	1364299419	6	180.0,960.0,840.0
28	664.0	3663166655	8	680.0,300.0,1080.0,260.0,1000.0
382	664.0	2886066946	11	140.0,1120.0,480.0,620.0,960.0
787	664.0	3638488835	12	580.0,120.0,1080.0,900.0,640.0
369	665.0	230985015	6	420.0,220.0,900.0,1120.0
68	666.6666666666666	1362347682	9	880.0,900.0,220.0
94	666.6666666666666	1174745085	10	420.0,780.0,800.0
438	666.6666666666666	1082729183	12	960.0,780.0,260.0
653	666.6666666666666	1609302663	8	140.0,1280.0,580.0
838	666.6666666666666	1666412554	13	540.0,900.0,560.0
975	666.6666666666666	1531116204	11	240.0,900.0,860.0
967	668.0	1745261605	5	1040.0,680.0,160.0,200.0,1260.0
260	670.0	2332172728	8	900.0,940.0,700.0,140.0
578	670.0	1093491891	9	120.0,1320.0,1020.0,220.0
613	670.0	3421157470	11	900.0,700.0,660.0,420.0
643	670.0	1633079030	10	380.0,960.0
692	670.0	1521739404	10	540.0,800.0
806	670.0	346820218	8	940.0,740.0,120.0,880.0
891	670.0	988408309	8	400.0,720.0,1100.0,400.0,920.0,480.0
984	670.0	1924235745	7	860.0,480.0
991	670.0	4216948988	11	820.0,520.0
793	673.3333333333334	4197363500	7	920.0,420.0,680.0
881	673.3333333333334	344261761	8	1040.0,620.0,360.0
620	676.0	3619968038	7	920.0,380.0,620.0,620.0,840.0
26	680.0	963456930	10	820.0,540.0
91	680.0	528692389	6	1060.0,920.0,640.0,100.0
128	680.0	2574131465	10	560.0,800.0
349	680.0	3653555426	10	1100.0,740.0,180.0,700.0
493	680.0	655331793	9	120.0,880.0,1040.0
663	680.0	2826003682	11	680.0,880.0,480.0
717	680.0	1480266089	10	300.0,1080.0,660.0
757	680.0	2475328969	8	860.0,500.0
854	680.0	1988699096	11	380.0,960.0,400.0,980.0
